workclass,education,marital-status,occupation,relationship,race,sex,native-country,age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week
Federal-gov,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,"(0.329, 0.466]","(0.195, 1.0]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
Federal-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,"(0.329, 0.466]","(-0.001, 0.0754]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,11th,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,"(0.233, 0.329]","(0.147, 0.195]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.5, 1.0]"
Local-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,"(0.466, 1.0]","(0.147, 0.195]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(0.5, 1.0]"
Self-emp-not-inc,HS-grad,Never-married,Farming-fishing,Not-in-family,White,Male,United-States,"(-0.001, 0.123]","(0.195, 1.0]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
Local-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,Cuba,"(0.466, 1.0]","(0.147, 0.195]","(0.8, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,HS-grad,Divorced,Adm-clerical,Own-child,White,Male,United-States,"(0.233, 0.329]","(0.195, 1.0]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,"(-0.001, 0.123]","(0.195, 1.0]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Self-emp-not-inc,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,"(0.329, 0.466]","(0.147, 0.195]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Some-college,Never-married,Sales,Own-child,White,Female,United-States,"(-0.001, 0.123]","(0.147, 0.195]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Local-gov,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,"(0.233, 0.329]","(0.147, 0.195]","(0.8, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
Private,Bachelors,Married-spouse-absent,Sales,Not-in-family,White,Female,Germany,"(0.329, 0.466]","(-0.001, 0.0754]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,"(0.329, 0.466]","(0.0754, 0.115]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Self-emp-not-inc,HS-grad,Never-married,Craft-repair,Own-child,Black,Male,United-States,"(0.123, 0.233]","(0.195, 1.0]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Assoc-voc,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,"(0.233, 0.329]","(0.115, 0.147]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
?,HS-grad,Divorced,?,Not-in-family,White,Male,United-States,"(0.466, 1.0]","(0.147, 0.195]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,10th,Divorced,Adm-clerical,Unmarried,White,Female,United-States,"(0.329, 0.466]","(0.115, 0.147]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,10th,Divorced,Other-service,Not-in-family,White,Female,United-States,"(0.123, 0.233]","(0.195, 1.0]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,5th-6th,Married-civ-spouse,Transport-moving,Husband,Black,Male,United-States,"(0.466, 1.0]","(0.147, 0.195]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,HS-grad,Never-married,Machine-op-inspct,Own-child,Asian-Pac-Islander,Male,Germany,"(0.123, 0.233]","(-0.001, 0.0754]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Bachelors,Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,Male,?,"(0.233, 0.329]","(0.195, 1.0]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Self-emp-not-inc,Some-college,Never-married,Sales,Own-child,White,Male,United-States,"(0.233, 0.329]","(0.195, 1.0]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
Private,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,"(0.466, 1.0]","(0.147, 0.195]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
Self-emp-inc,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,United-States,"(-0.001, 0.123]","(-0.001, 0.0754]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.5, 1.0]"
Private,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,"(0.123, 0.233]","(0.115, 0.147]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,"(0.233, 0.329]","(-0.001, 0.0754]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Self-emp-not-inc,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,"(0.123, 0.233]","(0.147, 0.195]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,"(0.466, 1.0]","(-0.001, 0.0754]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,"(0.123, 0.233]","(0.115, 0.147]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,"(0.329, 0.466]","(0.115, 0.147]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States,"(0.466, 1.0]","(0.195, 1.0]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
State-gov,Doctorate,Never-married,Prof-specialty,Not-in-family,White,Female,England,"(-0.001, 0.123]","(0.147, 0.195]","(0.8, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(0.5, 1.0]"
Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States,"(0.123, 0.233]","(0.147, 0.195]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.5, 1.0]"
Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,"(0.233, 0.329]","(0.0754, 0.115]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,"(0.123, 0.233]","(0.0754, 0.115]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
Private,7th-8th,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,Haiti,"(0.233, 0.329]","(0.147, 0.195]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Self-emp-not-inc,Assoc-acdm,Never-married,Sales,Not-in-family,White,Male,United-States,"(0.123, 0.233]","(0.195, 1.0]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.5, 1.0]"
Private,HS-grad,Never-married,Sales,Unmarried,White,Male,United-States,"(0.233, 0.329]","(0.115, 0.147]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,"(0.466, 1.0]","(0.0754, 0.115]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,"(0.329, 0.466]","(0.115, 0.147]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,United-States,"(-0.001, 0.123]","(0.115, 0.147]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,"(0.233, 0.329]","(0.115, 0.147]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Assoc-voc,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,"(0.329, 0.466]","(0.115, 0.147]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.5, 1.0]"
?,Some-college,Never-married,?,Own-child,White,Male,United-States,"(-0.001, 0.123]","(0.195, 1.0]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Self-emp-not-inc,HS-grad,Never-married,Farming-fishing,Not-in-family,White,Male,United-States,"(0.233, 0.329]","(0.115, 0.147]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
Private,Bachelors,Never-married,Adm-clerical,Own-child,White,Female,United-States,"(0.233, 0.329]","(0.195, 1.0]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,"(-0.001, 0.123]","(-0.001, 0.0754]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,"(0.123, 0.233]","(0.195, 1.0]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(0.5, 1.0]"
?,Bachelors,Married-civ-spouse,?,Husband,White,Male,United-States,"(0.466, 1.0]","(0.147, 0.195]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Some-college,Never-married,Sales,Not-in-family,White,Male,United-States,"(-0.001, 0.123]","(0.195, 1.0]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,El-Salvador,"(-0.001, 0.123]","(0.195, 1.0]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,1st-4th,Married-civ-spouse,Other-service,Other-relative,Black,Female,United-States,"(0.466, 1.0]","(0.115, 0.147]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Local-gov,HS-grad,Separated,Adm-clerical,Other-relative,White,Female,United-States,"(0.329, 0.466]","(0.0754, 0.115]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Local-gov,10th,Separated,Other-service,Unmarried,Black,Female,United-States,"(0.329, 0.466]","(0.0754, 0.115]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Some-college,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,"(0.329, 0.466]","(0.147, 0.195]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(0.5, 1.0]"
Private,Some-college,Separated,Sales,Unmarried,White,Female,United-States,"(0.329, 0.466]","(-0.001, 0.0754]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
State-gov,HS-grad,Divorced,Exec-managerial,Unmarried,White,Female,United-States,"(0.329, 0.466]","(0.0754, 0.115]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States,"(0.329, 0.466]","(0.147, 0.195]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.5, 1.0]"
Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,"(0.123, 0.233]","(0.147, 0.195]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,United-States,"(0.329, 0.466]","(0.195, 1.0]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,United-States,"(0.123, 0.233]","(0.147, 0.195]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,"(-0.001, 0.123]","(0.0754, 0.115]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
?,Bachelors,Never-married,?,Not-in-family,Asian-Pac-Islander,Female,United-States,"(0.123, 0.233]","(-0.001, 0.0754]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,"(0.466, 1.0]","(0.195, 1.0]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Federal-gov,Some-college,Never-married,Exec-managerial,Own-child,White,Male,United-States,"(-0.001, 0.123]","(0.115, 0.147]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,"(0.466, 1.0]","(0.115, 0.147]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,United-States,"(-0.001, 0.123]","(0.147, 0.195]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Federal-gov,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,"(0.329, 0.466]","(0.115, 0.147]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,HS-grad,Never-married,Handlers-cleaners,Unmarried,White,Male,United-States,"(-0.001, 0.123]","(0.0754, 0.115]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,"(0.233, 0.329]","(0.0754, 0.115]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
?,Some-college,Divorced,?,Own-child,White,Female,United-States,"(0.123, 0.233]","(0.147, 0.195]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,"(0.329, 0.466]","(-0.001, 0.0754]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,"(-0.001, 0.123]","(0.147, 0.195]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,"(0.233, 0.329]","(0.0754, 0.115]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
Private,10th,Never-married,Sales,Own-child,White,Female,United-States,"(-0.001, 0.123]","(0.195, 1.0]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,Assoc-voc,Divorced,Sales,Unmarried,Black,Female,United-States,"(0.329, 0.466]","(0.195, 1.0]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,"(0.233, 0.329]","(0.147, 0.195]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.5, 1.0]"
Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,"(0.329, 0.466]","(0.115, 0.147]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
Self-emp-not-inc,Masters,Never-married,Prof-specialty,Own-child,White,Male,United-States,"(0.123, 0.233]","(0.147, 0.195]","(0.8, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Some-college,Never-married,Other-service,Not-in-family,Black,Male,United-States,"(0.123, 0.233]","(0.147, 0.195]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,HS-grad,Divorced,Other-service,Not-in-family,Black,Male,United-States,"(0.466, 1.0]","(0.195, 1.0]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Self-emp-not-inc,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,"(0.466, 1.0]","(0.115, 0.147]","(0.8, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,1st-4th,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,"(-0.001, 0.123]","(0.195, 1.0]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Self-emp-not-inc,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,"(0.233, 0.329]","(0.195, 1.0]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,"(0.466, 1.0]","(-0.001, 0.0754]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Federal-gov,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,"(0.329, 0.466]","(-0.001, 0.0754]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,HS-grad,Never-married,Sales,Own-child,White,Male,United-States,"(-0.001, 0.123]","(0.147, 0.195]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
Private,Some-college,Never-married,Other-service,Own-child,White,Female,United-States,"(-0.001, 0.123]","(0.147, 0.195]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,HS-grad,Never-married,Handlers-cleaners,Unmarried,Black,Female,United-States,"(-0.001, 0.123]","(0.0754, 0.115]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
?,5th-6th,Married-civ-spouse,?,Husband,White,Male,Hungary,"(0.466, 1.0]","(0.115, 0.147]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,"(0.233, 0.329]","(0.0754, 0.115]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Bachelors,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,"(0.123, 0.233]","(0.147, 0.195]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,United-States,"(-0.001, 0.123]","(0.147, 0.195]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
Private,HS-grad,Married-civ-spouse,Tech-support,Husband,Black,Male,United-States,"(0.329, 0.466]","(0.195, 1.0]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Assoc-voc,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,"(0.123, 0.233]","(0.0754, 0.115]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,"(0.466, 1.0]","(0.0754, 0.115]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,"(0.329, 0.466]","(-0.001, 0.0754]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Assoc-acdm,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,"(0.329, 0.466]","(0.195, 1.0]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.5, 1.0]"
Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,"(0.466, 1.0]","(0.147, 0.195]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
Private,Some-college,Never-married,Protective-serv,Own-child,White,Male,United-States,"(-0.001, 0.123]","(0.195, 1.0]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,"(0.466, 1.0]","(-0.001, 0.0754]","(0.8, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,United-States,"(-0.001, 0.123]","(0.195, 1.0]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,"(-0.001, 0.123]","(0.147, 0.195]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Bachelors,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,"(0.123, 0.233]","(-0.001, 0.0754]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,"(0.329, 0.466]","(0.0754, 0.115]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Some-college,Divorced,Sales,Unmarried,White,Female,United-States,"(0.233, 0.329]","(-0.001, 0.0754]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,"(0.329, 0.466]","(0.195, 1.0]","(0.8, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Federal-gov,HS-grad,Married-civ-spouse,Sales,Husband,Black,Male,United-States,"(0.466, 1.0]","(-0.001, 0.0754]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,"(0.123, 0.233]","(-0.001, 0.0754]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Bachelors,Never-married,Tech-support,Not-in-family,White,Male,United-States,"(-0.001, 0.123]","(0.115, 0.147]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,HS-grad,Divorced,Other-service,Unmarried,Black,Female,United-States,"(0.233, 0.329]","(-0.001, 0.0754]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,Some-college,Never-married,Sales,Not-in-family,White,Male,United-States,"(0.123, 0.233]","(0.195, 1.0]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,Iran,"(0.233, 0.329]","(0.115, 0.147]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
Private,Assoc-acdm,Married-civ-spouse,Sales,Husband,White,Male,United-States,"(0.233, 0.329]","(-0.001, 0.0754]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,Some-college,Never-married,Adm-clerical,Own-child,White,Male,Thailand,"(-0.001, 0.123]","(0.195, 1.0]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,11th,Never-married,Prof-specialty,Own-child,White,Male,United-States,"(-0.001, 0.123]","(0.115, 0.147]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Local-gov,HS-grad,Never-married,Other-service,Unmarried,Black,Female,United-States,"(0.233, 0.329]","(0.195, 1.0]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.5, 1.0]"
Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,"(0.466, 1.0]","(-0.001, 0.0754]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.5, 1.0]"
Private,HS-grad,Widowed,Exec-managerial,Not-in-family,White,Male,United-States,"(0.466, 1.0]","(0.147, 0.195]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,United-States,"(-0.001, 0.123]","(-0.001, 0.0754]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
Self-emp-not-inc,Bachelors,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Male,India,"(-0.001, 0.123]","(0.195, 1.0]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
State-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,Black,Male,United-States,"(0.329, 0.466]","(0.115, 0.147]","(0.8, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Assoc-voc,Never-married,Transport-moving,Own-child,White,Male,United-States,"(0.123, 0.233]","(0.0754, 0.115]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,10th,Divorced,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Male,United-States,"(0.123, 0.233]","(0.147, 0.195]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.5, 1.0]"
Private,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,United-States,"(0.329, 0.466]","(0.0754, 0.115]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Some-college,Never-married,Tech-support,Not-in-family,White,Male,United-States,"(-0.001, 0.123]","(0.195, 1.0]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
